SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
259.5901	1
4990.708	1
NAN	NAN
590.7681	2
1548.228	2
2237.61	2
2694.999	2
4099.07	2
NAN	NAN
71.42502	3
363.1812	3
2204.679	3
NAN	NAN
3613.828	4
NAN	NAN
1218.501	5
2388.072	5
NAN	NAN
436.4545	6
785.2729	6
2183.237	6
2234.711	6
2280.226	6
3649.773	6
4501.026	6
NAN	NAN
784.2003	7
2698.312	7
NAN	NAN
4699.09	8
4752.641	8
4972.527	8
NAN	NAN
2945.651	9
2966.306	9
2992.98	9
3065.141	9
3128.756	9
4314.513	9
NAN	NAN
842.3857	10
1629.124	10
1645.813	10
1658.226	10
1686.362	10
1736.237	10
1780.345	10
1808.177	10
1987.976	10
2016.753	10
2038.733	10
2078.316	10
2107.479	10
3533.824	10
NAN	NAN
2629.617	11
3306.493	11
4832.131	11
NAN	NAN
62.12756	12
677.6845	12
745.7776	12
3893.069	12
4613.453	12
4689.673	12
4753.177	12
NAN	NAN
4489.265	13
4532.312	13
4549.331	13
4566.89	13
4586.256	13
4613.331	13
4628.357	13
4650.552	13
4694.322	13
NAN	NAN
2640.471	14
2749.01	14
2842.043	14
4837.812	14
NAN	NAN
3548.677	15
3962.171	15
3997.9	15
NAN	NAN
2649.656	16
2700.513	16
3773.073	16
3799.081	16
3837.288	16
3894.487	16
4876.299	16
NAN	NAN
1857.336	17
NAN	NAN
2446.932	18
2628.866	18
4953.094	18
NAN	NAN
