SP_RX_RAll_A0	SP_RY_RAll_A0
705.7071	0
1515.894	0
2649.608	0
2705.038	0
2738.962	0
2774.736	0
3079.548	0
3705.556	0
NAN	NAN
626.9299	1
660.9683	1
678.0789	1
NAN	NAN
691.2313	2
3180.058	2
3317.279	2
3373.243	2
3496.156	2
3510.495	2
3653.375	2
3935.78	2
4756.827	2
4940.835	2
NAN	NAN
4564.899	3
4595.685	3
4608.061	3
4634.988	3
NAN	NAN
1872.916	4
2911.722	4
2988.386	4
3646.658	4
3674.776	4
4798.072	4
NAN	NAN
427.0103	5
2187.832	5
2207.006	5
2216.902	5
2234.196	5
2241.599	5
2257.223	5
2265.826	5
2277.41	5
2287.246	5
2295.489	5
2304.366	5
2320.657	5
2328.886	5
2343.44	5
2362.213	5
2379.016	5
2394.542	5
2452.315	5
2477.904	5
2510.915	5
2583.845	5
2650.498	5
2674.153	5
4247.639	5
NAN	NAN
