SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
NAN	1
NAN	NAN
901.2444	2
918.7468	2
NAN	NAN
NAN	3
NAN	NAN
885.1898	4
NAN	NAN
NAN	5
NAN	NAN
NAN	6
NAN	NAN
NAN	7
NAN	NAN
NAN	8
NAN	NAN
NAN	9
NAN	NAN
930.6509	10
940.9531	10
NAN	NAN
943.0772	11
NAN	NAN
NAN	12
NAN	NAN
NAN	13
NAN	NAN
939.5441	14
NAN	NAN
NAN	15
NAN	NAN
NAN	16
NAN	NAN
NAN	17
NAN	NAN
914.6771	18
928.1204	18
NAN	NAN
952.3628	19
NAN	NAN
NAN	20
NAN	NAN
NAN	21
NAN	NAN
979.13	22
NAN	NAN
918.3856	23
941.3496	23
NAN	NAN
NAN	24
NAN	NAN
908.5217	25
NAN	NAN
932.4242	26
NAN	NAN
914.811	27
NAN	NAN
NAN	28
NAN	NAN
NAN	29
NAN	NAN
910.4427	30
935.0186	30
NAN	NAN
924.0085	31
937.6332	31
NAN	NAN
