SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
756.3384	1
NAN	NAN
NAN	2
NAN	NAN
800.7251	3
807.2063	3
822.5681	3
NAN	NAN
777.6194	4
992.7979	4
NAN	NAN
NAN	5
NAN	NAN
834.3754	6
896.5272	6
914.0729	6
921.7233	6
938.5996	6
959.7199	6
975.7812	6
983.7901	6
1005.899	6
1020.088	6
1055.139	6
1066.132	6
1089.316	6
1134.384	6
1216.13	6
1263.33	6
1281.604	6
1387.744	6
1436.937	6
NAN	NAN
810.8756	7
827.6804	7
956.7708	7
1071.634	7
NAN	NAN
NAN	8
NAN	NAN
NAN	9
NAN	NAN
936.9976	10
NAN	NAN
1133.218	11
NAN	NAN
871.3464	12
NAN	NAN
1028.007	13
NAN	NAN
817.4949	14
893.6682	14
910.4001	14
930.4874	14
940.9843	14
957.5161	14
967.5312	14
997.4396	14
1032.379	14
1067.725	14
1085.644	14
1102.758	14
1119.248	14
1137.804	14
1188.583	14
1214.541	14
1272.004	14
1289.108	14
1391.779	14
1430.854	14
1495.223	14
NAN	NAN
825.2852	15
904.3719	15
1072.459	15
NAN	NAN
NAN	16
NAN	NAN
836.6158	17
NAN	NAN
NAN	18
NAN	NAN
NAN	19
NAN	NAN
NAN	20
NAN	NAN
826.9422	21
849.6724	21
NAN	NAN
833.8914	22
852.5341	22
893.2239	22
909.1497	22
915.0236	22
933.0543	22
954.9771	22
967.4939	22
983.2246	22
1002.241	22
1009.841	22
1022.516	22
1034.233	22
1047.827	22
1055.703	22
1113.433	22
1123.845	22
1148.377	22
1181.942	22
1199.562	22
1209.999	22
1303.583	22
1319.082	22
1359.774	22
1570.427	22
NAN	NAN
816.0483	23
831.5157	23
859.7073	23
885.8751	23
938.6945	23
957.9946	23
1099.926	23
NAN	NAN
NAN	24
NAN	NAN
841.7826	25
NAN	NAN
1082.055	26
NAN	NAN
994.2413	27
1023.19	27
1057.911	27
NAN	NAN
1099.142	28
NAN	NAN
839.8752	29
876.3062	29
NAN	NAN
825.8366	30
834.5423	30
841.0264	30
858.5838	30
870.9414	30
887.2759	30
924.6087	30
974.9821	30
993.7062	30
1002.181	30
1010.141	30
1022.131	30
1055.073	30
1078.864	30
1094.711	30
1117.312	30
1165.778	30
1209.203	30
1285.883	30
1374.158	30
1420.917	30
1465.032	30
1753.729	30
NAN	NAN
822.9291	31
834.2699	31
919.5405	31
941.5878	31
1104.776	31
NAN	NAN
