SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
NAN	1
NAN	NAN
NAN	2
NAN	NAN
NAN	3
NAN	NAN
NAN	4
NAN	NAN
NAN	5
NAN	NAN
NAN	6
NAN	NAN
NAN	7
NAN	NAN
NAN	8
NAN	NAN
NAN	9
NAN	NAN
NAN	10
NAN	NAN
NAN	11
NAN	NAN
NAN	12
NAN	NAN
NAN	13
NAN	NAN
NAN	14
NAN	NAN
NAN	15
NAN	NAN
2113.878	16
NAN	NAN
NAN	17
NAN	NAN
NAN	18
NAN	NAN
NAN	19
NAN	NAN
NAN	20
NAN	NAN
NAN	21
NAN	NAN
2972.291	22
NAN	NAN
NAN	23
NAN	NAN
NAN	24
NAN	NAN
NAN	25
NAN	NAN
NAN	26
NAN	NAN
NAN	27
NAN	NAN
NAN	28
NAN	NAN
NAN	29
NAN	NAN
NAN	30
NAN	NAN
NAN	31
NAN	NAN
