SP_RX_RAll_A0	SP_RY_RAll_A0
772.2454	0
2235.692	0
2281.474	0
2304.727	0
2348.029	0
2371.407	0
2379.768	0
2387.249	0
2397.793	0
2436.31	0
2446.535	0
2454.939	0
2466.177	0
2486.085	0
2517.507	0
2530.941	0
2545.905	0
2560.372	0
2704.887	0
2769.6	0
2796.268	0
2807.9	0
2834.949	0
2854.567	0
2869.914	0
2880.651	0
3103.443	0
3588.532	0
3700.12	0
4177.991	0
4475.391	0
4640.527	0
NAN	NAN
193.5278	1
482.9224	1
1009.838	1
1422.693	1
1523.501	1
1564.841	1
1632.058	1
1945.803	1
2680.584	1
2724.454	1
2802.576	1
2822.246	1
2914.64	1
2990.147	1
3476.95	1
3709.572	1
3715.678	1
3739.709	1
3780.433	1
3797.046	1
3844.872	1
3974.219	1
4047.605	1
4057.282	1
4261.6	1
4813.22	1
NAN	NAN
747.5222	2
825.8876	2
1405.017	2
1539.179	2
2602.248	2
2944.128	2
2952.265	2
3044.982	2
3062.936	2
3359.405	2
3375.665	2
3400.69	2
3824.652	2
3853.876	2
NAN	NAN
81.2197	3
503.4676	3
809.7483	3
950.6361	3
1026.711	3
1044.475	3
1550.768	3
1767.871	3
1821.998	3
2449.523	3
2503.538	3
2624.992	3
3126.007	3
3354.868	3
3761.547	3
4624.889	3
4717.372	3
NAN	NAN
412.6748	4
542.9374	4
638.9619	4
741.598	4
1049.637	4
1312.847	4
1328.82	4
2297.206	4
2457.452	4
2477.42	4
2646.43	4
2837.373	4
3217.376	4
3263.088	4
3613.857	4
3869.401	4
4577.593	4
4628.314	4
NAN	NAN
1579.89	5
1596.149	5
2042.029	5
2063.709	5
2071.701	5
2151.709	5
2621.925	5
2658.65	5
3174.998	5
3393.435	5
3415.872	5
3448.107	5
3462.926	5
3477.023	5
3507.936	5
3551.207	5
3594.117	5
3926.638	5
3958.738	5
4350.993	5
NAN	NAN
111.4464	6
248.6112	6
680.4604	6
813.2949	6
892.0076	6
909.9577	6
994.2031	6
1227.264	6
1240.188	6
2700.296	6
2744.672	6
2828.011	6
2874.668	6
2927.175	6
3066.765	6
3156.981	6
3167.35	6
4017.82	6
4045.412	6
4651.641	6
NAN	NAN
1334.209	7
1408.911	7
1636.079	7
1791.102	7
1799.833	7
2199.007	7
2838.604	7
2934.525	7
3757.531	7
3763.59	7
3885.159	7
3930.159	7
4537.418	7
4590.722	7
NAN	NAN
2400.767	8
2543.217	8
3804.244	8
3871.511	8
3955.228	8
3973.489	8
4223.52	8
4861.99	8
NAN	NAN
110.8768	9
522.8171	9
726.8481	9
1093.691	9
2043.917	9
2180.354	9
2342.247	9
2706.001	9
3050.941	9
3142	9
3166.703	9
3257.207	9
3278.676	9
3321.524	9
3383.813	9
3441.402	9
3913.763	9
4666.178	9
4775.321	9
4780.743	9
NAN	NAN
1156.191	10
2452.366	10
2620.749	10
2823.661	10
3075.385	10
3644.905	10
4723.146	10
4781.189	10
4931.459	10
4985.773	10
NAN	NAN
962.3402	11
1156.058	11
1173.158	11
1371.906	11
2375.092	11
2424.662	11
2542.309	11
2683.611	11
2935.535	11
3028.206	11
3223.284	11
3247.495	11
3505.005	11
3926.314	11
4227.845	11
4594.809	11
4598.32	11
4604.829	11
4640.996	11
4645.847	11
4870.841	11
NAN	NAN
32.62189	12
551.523	12
761.3323	12
791.4882	12
928.1199	12
1309.582	12
1389.704	12
1402.834	12
1521.941	12
1680.134	12
2429.73	12
3137.225	12
3286.632	12
3906.679	12
3931.203	12
4187.154	12
4847.456	12
4950.963	12
NAN	NAN
