SP_RX_RAll_A0	SP_RY_RAll_A0
158.2313	0
1481.224	0
1728.642	0
1998.903	0
2014.051	0
2028.365	0
2272.752	0
2359.205	0
2368.218	0
2419.712	0
2459.157	0
2492.743	0
2511.926	0
2526.627	0
2538.351	0
2634.651	0
2839.041	0
3391.595	0
3964.865	0
4013.003	0
4034.13	0
4280.138	0
4489.182	0
4706.383	0
4790.223	0
NAN	NAN
298.382	1
337.5043	1
1492.985	1
2013.873	1
2043.211	1
2411.088	1
2663.735	1
2744.276	1
2774.714	1
2809.874	1
2832.112	1
3059.398	1
3298.5	1
3392.013	1
3404.394	1
4190.863	1
4569.866	1
NAN	NAN
1617.956	2
1657.57	2
2305.286	2
2396.641	2
2716.263	2
2756.092	2
2867.947	2
3109.243	2
3315.807	2
4089.802	2
4365.843	2
4664.726	2
4708.559	2
NAN	NAN
2351.758	3
2406.7	3
2470.74	3
2489.568	3
2591.772	3
2985.026	3
4805.029	3
4832.993	3
4848.392	3
4967.047	3
NAN	NAN
105.5066	4
150.2665	4
1042.892	4
1181.941	4
1974.964	4
2202.176	4
2242.466	4
2258.749	4
2577.471	4
2683.561	4
2736.084	4
4067.523	4
4116.327	4
4474.472	4
NAN	NAN
59.44838	5
404.1979	5
1502.036	5
1518.796	5
1665.383	5
1791.852	5
2244.289	5
2586.769	5
2622.886	5
3005.266	5
3210.717	5
3879.219	5
4686.097	5
NAN	NAN
560.8956	6
607.6491	6
632.768	6
862.1055	6
1877.52	6
2363.649	6
2398.687	6
2520.034	6
2584.133	6
2590.449	6
2601.867	6
3106.833	6
4328.468	6
NAN	NAN
427.9803	7
1532.644	7
1899.903	7
3921.405	7
4093.33	7
4338.033	7
NAN	NAN
41.58821	8
306.2082	8
1017.535	8
1066.106	8
2025.635	8
2396.556	8
2533.271	8
2615.125	8
2698.419	8
2725.551	8
2946.095	8
3172.42	8
3859.412	8
NAN	NAN
180.5049	9
1577.214	9
1827.927	9
1899.482	9
2336.133	9
2567.679	9
2684.491	9
3391.529	9
3407.999	9
3441.112	9
3537.836	9
NAN	NAN
667.6849	10
813.5862	10
855.3594	10
2636.454	10
2665.068	10
2958.521	10
2984.708	10
3179.596	10
3432.65	10
4105.325	10
NAN	NAN
410.1473	11
448.1075	11
584.4086	11
2531.038	11
2643.155	11
2660.678	11
2707.014	11
2917.872	11
4235.332	11
4356.126	11
4411.298	11
4965.13	11
4980.385	11
NAN	NAN
277.338	12
366.3756	12
808.1968	12
1232.394	12
1844.397	12
2024.029	12
2315.01	12
2402.986	12
2427.871	12
2616.047	12
3071.598	12
3095.683	12
3149.698	12
3246.026	12
3266.399	12
3338.051	12
3385.167	12
3900.479	12
3930.559	12
3944.23	12
NAN	NAN
