SP_RX_RAll_A0	SP_RY_RAll_A0
348.7306	0
1049.116	0
1180.438	0
1478.99	0
1515.065	0
1556.558	0
2270.394	0
2286.112	0
2316.533	0
2323.741	0
2330.485	0
2429.385	0
2457.125	0
2486.283	0
2504.258	0
2560.994	0
2568.94	0
2736.906	0
2813.582	0
2936.127	0
2974.842	0
3296.338	0
3605.706	0
3701.727	0
4240.867	0
NAN	NAN
1154.678	1
1162.828	1
1960.683	1
2029	1
2037.278	1
2060.663	1
2107.209	1
2178.355	1
2837.875	1
2998.041	1
3097.884	1
3110.868	1
3121.143	1
3166.47	1
3366.583	1
3375.674	1
3475.174	1
3612.27	1
3626.791	1
4226.254	1
4331.27	1
4372.206	1
4553.514	1
4609.838	1
NAN	NAN
584.5195	2
796.6467	2
1117.401	2
1135.756	2
1292.759	2
1306.212	2
1605.391	2
2081.432	2
2353.487	2
2794.689	2
2840.36	2
3154.983	2
3213.007	2
4403.706	2
4752.396	2
NAN	NAN
665.0881	3
1033.219	3
1050.486	3
1069.244	3
1104.684	3
1202.377	3
1698.479	3
1863.584	3
2366.148	3
2490.095	3
2547.133	3
2562.013	3
2651.951	3
2845.449	3
2968.65	3
3068.701	3
3096.364	3
3219.188	3
3249.796	3
3318.001	3
3381.017	3
3411.482	3
3440.043	3
3773.321	3
4853.68	3
NAN	NAN
842.7365	4
880.4664	4
933.6129	4
967.525	4
1009.58	4
1195.431	4
1225.618	4
1572.168	4
1591.753	4
1719.673	4
1739.564	4
1802.392	4
2713.067	4
2754.971	4
3079.626	4
3995.18	4
4227.856	4
4483.933	4
4539.895	4
4561.929	4
NAN	NAN
149.842	5
714.6342	5
724.6576	5
734.4267	5
762.9176	5
1661.326	5
1689.24	5
1790.95	5
1816.151	5
1838.351	5
1885.436	5
2767.57	5
2826.611	5
2855.652	5
2895.117	5
3118.547	5
3129.118	5
3512.983	5
3679.828	5
3938.35	5
4014.068	5
4349.93	5
4446.663	5
4738.293	5
NAN	NAN
380.5316	6
598.6805	6
1105.006	6
1129.029	6
1208.039	6
1872.024	6
1916.616	6
2000.036	6
2667.765	6
2689.103	6
2845.433	6
2945.096	6
3212.964	6
3394.19	6
3770.697	6
4453.749	6
NAN	NAN
146.2509	7
1387.812	7
2702.614	7
3118.527	7
3287.87	7
3319.967	7
4075.112	7
4873.589	7
NAN	NAN
340.7489	8
1983.616	8
2263.551	8
2472.854	8
2790.856	8
3322.908	8
3826.445	8
4370.25	8
4563	8
4574.31	8
4654.364	8
4725.55	8
4731.101	8
4897.096	8
4987.596	8
NAN	NAN
15.94484	9
815.3764	9
861.6638	9
910.8224	9
1181.111	9
1371.839	9
2347.817	9
3790.301	9
3972.932	9
4026.896	9
4043.238	9
4088.167	9
4122.203	9
4157.054	9
4345.534	9
4525.752	9
NAN	NAN
562.0195	10
1006.59	10
1537.985	10
1629.062	10
1917.152	10
2159.932	10
2302.013	10
2362.067	10
2382.622	10
2416.101	10
2501.347	10
2592.052	10
2786	10
2951.614	10
4352.729	10
4958.474	10
NAN	NAN
15.25855	11
23.5446	11
248.9426	11
286.8559	11
472.4202	11
1137.781	11
1355.03	11
1368.956	11
1390.84	11
1462.128	11
1661.76	11
1723.873	11
1888.784	11
2102.212	11
2154.612	11
2282.344	11
2306.809	11
2315.475	11
3054.517	11
3129.756	11
3218.097	11
3651.493	11
4010.239	11
4817.798	11
NAN	NAN
1169.706	12
1227.623	12
1245.643	12
1268.183	12
1780.278	12
2142.853	12
2305.437	12
2317.521	12
2572.064	12
3524.725	12
3718.152	12
NAN	NAN
