SP_RX_RAll_A0	SP_RY_RAll_A0
835.4796	0
1113.339	0
1396.166	0
1550.927	0
2017.859	0
2243.536	0
2302.126	0
2316.969	0
2329.345	0
2348.788	0
2383.645	0
2398.985	0
2429.896	0
2497.743	0
2535.793	0
2569.79	0
2594.508	0
2601.701	0
2614.494	0
2630.426	0
2650.371	0
2667.968	0
2726.269	0
2742.185	0
3305.845	0
3312.059	0
3721.635	0
4402.242	0
4632.85	0
4644.389	0
NAN	NAN
379.4286	1
641.5423	1
899.9207	1
2835.17	1
2903.649	1
2932.845	1
3003.784	1
3493.036	1
3538.664	1
3952.628	1
4100.544	1
4120.364	1
4135.881	1
4204.393	1
4231.908	1
4277.364	1
4873.415	1
NAN	NAN
28.31558	2
455.1325	2
680.2239	2
705.2526	2
974.2739	2
1047.234	2
1076.804	2
1221.667	2
1244.358	2
1336.758	2
1373.102	2
1423.835	2
1456.677	2
1777.025	2
1839.978	2
1975.354	2
2084.323	2
2096.732	2
2198.092	2
2376.264	2
2399.138	2
2556.698	2
2834.89	2
2903.964	2
3030.063	2
3041.721	2
3503.136	2
3605.6	2
4643.289	2
4689.883	2
4885.095	2
4921.236	2
NAN	NAN
697.3574	3
764.7579	3
824.2397	3
904.3792	3
922.9951	3
1296.127	3
2106.345	3
2281.935	3
2290.889	3
2334.064	3
2395.54	3
2404.688	3
2589.908	3
3217.165	3
3236.307	3
3266.15	3
3536.622	3
3550.752	3
4159.264	3
4770.712	3
4956.082	3
NAN	NAN
49.86628	4
211.0123	4
224.5161	4
309.8922	4
476.503	4
968.0802	4
1197.975	4
1273.105	4
1652.036	4
1930.931	4
2572.264	4
2617.349	4
2644.369	4
3910.804	4
4204.038	4
4331.017	4
NAN	NAN
40.86637	5
135.2968	5
332.5121	5
534.8406	5
549.1749	5
1584.54	5
2536.881	5
2827.562	5
2842.773	5
2889.854	5
3083.163	5
3255.136	5
3462.46	5
4605.92	5
4672.564	5
4725.439	5
NAN	NAN
830.8257	6
869.5289	6
892.8271	6
933.6247	6
1810.059	6
1876.894	6
2460.7	6
2957.367	6
3126.244	6
3779.149	6
3980.083	6
4018.104	6
4227.558	6
4246.955	6
4766.201	6
4803.474	6
4975.126	6
NAN	NAN
72.59585	7
413.8814	7
1404.891	7
1466.755	7
1712.628	7
1828.651	7
2096.427	7
3539.612	7
4654.408	7
NAN	NAN
151.1443	8
1365.502	8
2307.825	8
2413.072	8
2637.641	8
3616.141	8
3813.359	8
3846.289	8
3986.8	8
3996.776	8
4193.877	8
4300.933	8
NAN	NAN
411.3709	9
563.1178	9
578.4894	9
1368.924	9
1667.767	9
1891.523	9
2624.334	9
2730.057	9
2819.7	9
NAN	NAN
918.1213	10
1129.38	10
1241.3	10
1283.852	10
1824.038	10
2011.282	10
2160.529	10
2503.212	10
2672.859	10
3106.003	10
3389.297	10
4110.721	10
4143.904	10
4493.084	10
4523.384	10
NAN	NAN
1547.544	11
2938.89	11
3359.861	11
3389.464	11
3401.727	11
3621.556	11
3850.104	11
4185.59	11
4259.548	11
4306.108	11
4853.191	11
NAN	NAN
901.0281	12
1191.145	12
1210.363	12
1875.363	12
2255.158	12
2469.996	12
2541.789	12
4190.398	12
4362.615	12
NAN	NAN
