SP_RX_RAll_A0	SP_RY_RAll_A0
1526.121	0
1883.781	0
2003.641	0
2174.768	0
2292.574	0
2304.323	0
2318.84	0
2340.893	0
2359.32	0
2386.044	0
2398.262	0
2410.842	0
2429.663	0
2462.137	0
2469.694	0
2482.226	0
2510.836	0
2527.151	0
2575.906	0
2583.101	0
2615.072	0
2628.81	0
2662.237	0
2674.602	0
2823.972	0
2879.473	0
2906.983	0
3061.822	0
3205.205	0
3227.168	0
3519.776	0
4026.498	0
4098.235	0
4131.405	0
4208.517	0
4349.214	0
4491.258	0
4542.317	0
4568.246	0
NAN	NAN
33.61269	1
146.7389	1
156.5208	1
174.4891	1
265.0519	1
305.8363	1
501.8888	1
595.9585	1
1012.709	1
1354.655	1
1966.839	1
3283.483	1
4038.951	1
4208.777	1
4519.803	1
4965.702	1
NAN	NAN
1229.935	2
1548.516	2
3118.812	2
3249.385	2
3952.984	2
3966.571	2
4070.759	2
4110.526	2
4493.076	2
NAN	NAN
460.6317	3
1063.164	3
1164.115	3
1497.819	3
1598.623	3
2416.984	3
2475.575	3
2488.97	3
2513.367	3
2563.332	3
2596.215	3
2605.657	3
2688.911	3
2840.267	3
3005.297	3
3388.759	3
3586.889	3
4220.293	3
4426.781	3
4738.438	3
NAN	NAN
334.6501	4
959.3376	4
1113.46	4
1308.782	4
1326.49	4
1567.218	4
2515.319	4
2691.042	4
2697.369	4
3140.703	4
3188.692	4
3521.004	4
3686.517	4
3964.319	4
4490.039	4
NAN	NAN
571.9581	5
1022.008	5
1075.592	5
1418.4	5
1472.426	5
1721.913	5
1941.84	5
2349.638	5
3144.565	5
3846.185	5
4108.861	5
4491.958	5
NAN	NAN
1789.692	6
2045.421	6
2634.193	6
2875.366	6
3234.118	6
3516.161	6
3526.9	6
3548.103	6
3810.686	6
4640.066	6
4682.22	6
4703.17	6
NAN	NAN
550.1946	7
1351.454	7
2643.979	7
2675.611	7
2755.938	7
2832.356	7
2848.029	7
3844.817	7
4011.957	7
4243.005	7
NAN	NAN
2313.452	8
2437.815	8
2450.864	8
2701.926	8
4356.833	8
NAN	NAN
776.4169	9
2123.597	9
2253.463	9
2398.752	9
3319.859	9
3379.212	9
4472.06	9
NAN	NAN
13.33348	10
23.37365	10
779.6127	10
822.8188	10
1145.708	10
1260.938	10
1308.367	10
2658.559	10
3408.383	10
4420.065	10
4479.586	10
4504.792	10
4525.058	10
4529.14	10
4863.942	10
4993.168	10
NAN	NAN
2252.955	11
2555.131	11
2586.511	11
2599.864	11
2769.968	11
2936.758	11
3135.45	11
3179.182	11
3420.898	11
3563.342	11
4047.884	11
4316.887	11
4947.279	11
NAN	NAN
166.6469	12
268.6121	12
380.7318	12
561.9583	12
594.1662	12
1058.693	12
1094.08	12
1531.875	12
2419.059	12
2568.701	12
2643.641	12
2974.71	12
3273.606	12
3468.693	12
3547.172	12
4274.237	12
4367.118	12
4557.05	12
4780.761	12
4911.419	12
NAN	NAN
