SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
NAN	1
NAN	NAN
NAN	2
NAN	NAN
NAN	3
NAN	NAN
2184.014	4
NAN	NAN
2178.31	5
NAN	NAN
NAN	6
NAN	NAN
2262.499	7
2353.175	7
2371.542	7
2452.095	7
2528.125	7
2614.486	7
2624.368	7
NAN	NAN
2325.673	8
NAN	NAN
NAN	9
NAN	NAN
2410.262	10
NAN	NAN
2195.011	11
NAN	NAN
NAN	12
NAN	NAN
